SEASON YEAR,WEEK,TEST ID,BLOCK,TRAP,TRAP_TYPE,TEST DATE,NUMBER OF MOSQUITOES,RESULT,SPECIES,LATITUDE,LONGITUDE,LOCATION
2021,28,52377,100XX W OHARE,T909,GRAVID,7/15/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,28,52369,100XX W OHARE,T904,GRAVID,7/15/21 00:07,49,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,28,52374,100XX W OHARE,T909,GRAVID,7/15/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,28,52375,100XX W OHARE,T909,GRAVID,7/15/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,28,52376,100XX W OHARE,T909,GRAVID,7/15/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,28,52371,100XX W OHARE,T909,GRAVID,7/15/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,36,53207,100XX W OHARE,T904,GRAVID,9/9/21 00:09,27,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,36,53208,100XX W OHARE,T904,GRAVID,9/9/21 00:09,3,negative,UNSPECIFIED CULEX,41.978611,-87.904724,
2021,36,53210,100XX W OHARE,T909,GRAVID,9/9/21 00:09,12,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,25,53627,100XX W OHARE,T909,GRAVID,6/23/22 00:06,14,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,25,53625,100XX W OHARE,T904,GRAVID,6/23/22 00:06,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52494,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52505,100XX W OHARE,T909,GRAVID,7/22/21 00:07,41,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52497,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52498,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52500,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52501,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52491,100XX W OHARE,T904,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52503,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52495,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52492,100XX W OHARE,T904,GRAVID,7/22/21 00:07,16,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52490,100XX W OHARE,T904,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52496,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52499,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52504,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,29,52502,100XX W OHARE,T909,GRAVID,7/22/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,26,53689,100XX W OHARE,T904,GRAVID,6/30/22 00:06,17,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,30,52623,100XX W OHARE,T909,GRAVID,7/29/21 00:07,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,30,52624,100XX W OHARE,T909,GRAVID,7/29/21 00:07,33,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,30,52617,100XX W OHARE,T904,GRAVID,7/29/21 00:07,18,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,30,52622,100XX W OHARE,T909,GRAVID,7/29/21 00:07,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,37,53295,100XX W OHARE,T909,GRAVID,9/16/21 00:09,17,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,26,53691,100XX W OHARE,T909,GRAVID,6/30/22 00:06,10,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,31,52764,100XX W OHARE,T909,GRAVID,8/5/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,31,52762,100XX W OHARE,T909,GRAVID,8/5/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,31,52758,100XX W OHARE,T904,GRAVID,8/5/21 00:08,41,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,31,52763,100XX W OHARE,T909,GRAVID,8/5/21 00:08,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,31,52761,100XX W OHARE,T909,GRAVID,8/5/21 00:08,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,31,52765,100XX W OHARE,T909,GRAVID,8/5/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,31,52766,100XX W OHARE,T909,GRAVID,8/5/21 00:08,30,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,38,53363,100XX W OHARE,T909,GRAVID,9/23/21 00:09,10,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,32,52879,100XX W OHARE,T909,GRAVID,8/12/21 00:08,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,32,52881,100XX W OHARE,T909,GRAVID,8/12/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,32,52880,100XX W OHARE,T909,GRAVID,8/12/21 00:08,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,32,52875,100XX W OHARE,T904,GRAVID,8/12/21 00:08,10,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,32,52874,100XX W OHARE,T904,GRAVID,8/12/21 00:08,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,32,52878,100XX W OHARE,T909,GRAVID,8/12/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,32,52882,100XX W OHARE,T909,GRAVID,8/12/21 00:08,42,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,28,53782,100XX W OHARE,T904,GRAVID,7/14/22 00:07,45,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,29,53850,100XX W OHARE,T909,GRAVID,7/21/22 00:07,3,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,29,53848,100XX W OHARE,T904,GRAVID,7/21/22 00:07,31,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,30,53901,100XX W OHARE,T909,GRAVID,7/28/22 00:07,16,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,31,53976,100XX W OHARE,T904,GRAVID,8/4/22 00:08,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,31,53979,100XX W OHARE,T909,GRAVID,8/4/22 00:08,5,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,32,54048,100XX W OHARE,T909,GRAVID,8/11/22 00:08,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,33,54117,100XX W OHARE,T904,GRAVID,8/18/22 00:08,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,34,54175,100XX W OHARE,T909,GRAVID,8/25/22 00:08,45,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,34,54174,100XX W OHARE,T904,GRAVID,8/25/22 00:08,19,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,24,46131,100XX W OHARE,T909,GRAVID,6/14/18 00:06,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,26,46327,100XX W OHARE,T909,GRAVID,6/28/18 00:06,46,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,26,46325,100XX W OHARE,T909,GRAVID,6/28/18 00:06,50,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,26,46326,100XX W OHARE,T909,GRAVID,6/28/18 00:06,50,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,26,46322,100XX W OHARE,T909,GRAVID,6/28/18 00:06,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,25,46223,100XX W OHARE,T909,GRAVID,6/21/18 00:06,12,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,26,46323,100XX W OHARE,T909,GRAVID,6/28/18 00:06,44,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,26,46324,100XX W OHARE,T909,GRAVID,6/28/18 00:06,50,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,24,46132,100XX W OHARE,T909,GRAVID,6/14/18 00:06,31,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,25,46222,100XX W OHARE,T909,GRAVID,6/21/18 00:06,50,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,27,46420,100XX W OHARE,T909,GRAVID,7/5/18 00:07,10,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,28,46505,100XX W OHARE,T909,GRAVID,7/12/18 00:07,4,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,29,46630,100XX W OHARE,T909,GRAVID,7/19/18 00:07,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,30,46747,100XX W OHARE,T909,GRAVID,7/26/18 00:07,7,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,32,46994,100XX W OHARE,T909,GRAVID,8/9/18 00:08,6,negative,CULEX PIPIENS,41.978611,-87.904724,
2018,32,46995,100XX W OHARE,T909,GRAVID,8/9/18 00:08,47,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,32,46996,100XX W OHARE,T909,GRAVID,8/9/18 00:08,21,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,33,47123,100XX W OHARE,T909,GRAVID,8/16/18 00:08,1,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,34,47262,100XX W OHARE,T909,GRAVID,8/23/18 00:08,1,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,35,47364,100XX W OHARE,T909,GRAVID,8/30/18 00:08,2,negative,CULEX RESTUANS,41.978611,-87.904724,
2018,35,47362,100XX W OHARE,T909,GRAVID,8/30/18 00:08,2,negative,CULEX PIPIENS,41.978611,-87.904724,
2018,35,47363,100XX W OHARE,T909,GRAVID,8/30/18 00:08,3,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,35,47365,100XX W OHARE,T909,GRAVID,8/30/18 00:08,1,negative,CULEX TERRITANS,41.978611,-87.904724,
2022,36,54291,100XX W OHARE,T909,GRAVID,9/8/22 00:09,19,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,30,55019,100XX W OHARE,T904,GRAVID,7/27/23 00:07,38,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,30,55028,100XX W OHARE,T909,GRAVID,7/27/23 00:07,5,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,23,54510,100XX W OHARE,T909,GRAVID,6/8/23 00:06,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,23,54508,100XX W OHARE,T904,GRAVID,6/8/23 00:06,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,31,55091,100XX W OHARE,T909,GRAVID,8/3/23 00:08,45,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,31,55090,100XX W OHARE,T904,GRAVID,8/3/23 00:08,16,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,24,54580,100XX W OHARE,T904,GRAVID,6/15/23 00:06,6,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,25,54637,100XX W OHARE,T904,GRAVID,6/22/23 00:06,44,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,32,55201,100XX W OHARE,T909,GRAVID,8/10/23 00:08,26,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,32,55197,100XX W OHARE,T904,GRAVID,8/10/23 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,26,54709,100XX W OHARE,T909,GRAVID,6/29/23 00:06,7,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,27,54766,100XX W OHARE,T909,GRAVID,7/6/23 00:07,38,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,28,54841,100XX W OHARE,T904,GRAVID,7/13/23 00:07,36,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,28,54844,100XX W OHARE,T909,GRAVID,7/13/23 00:07,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,29,54923,100XX W OHARE,T909,GRAVID,7/20/23 00:07,20,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,29,54922,100XX W OHARE,T909,GRAVID,7/20/23 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,33,55264,100XX W OHARE,T904,GRAVID,8/17/23 00:08,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,33,55266,100XX W OHARE,T909,GRAVID,8/17/23 00:08,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,34,55349,100XX W OHARE,T904,GRAVID,8/24/23 00:08,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,35,55414,100XX W OHARE,T909,GRAVID,8/31/23 00:08,30,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,35,55413,100XX W OHARE,T904,GRAVID,8/31/23 00:08,19,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,36,55479,100XX W OHARE,T909,GRAVID,9/7/23 00:09,13,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,37,55547,100XX W OHARE,T909,GRAVID,9/14/23 00:09,3,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,37,55545,100XX W OHARE,T904,GRAVID,9/14/23 00:09,7,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2023,38,55618,100XX W OHARE,T909,GRAVID,9/21/23 00:09,35,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
